max_x_freq,max_x,max_y_freq,max_y,max_z_freq,max_z,max_rho_freq,max_rho,max_theta_freq,max_theta,max_phi_freq,max_phi,gt
0.39,16.074703026140853,0.39,15.68802345870469,2.5199999999999996,5.559025003324262,2.5199999999999996,6.213847098596215,0.32,4.961156143536669,0.01,2.0249675800869777,bike
1.04,20.31920625135167,0.53,9.641614516151595,1.03,35.59434255058215,1.03,47.989510852233046,0.52,3.0976847732243358,0.04,1.4206957833497624,no_task
0.01,1.0600595834646362,0.02,0.6360686580330629,6.56,0.2638827235183964,6.56,0.26250730744156575,0.22,1.1337130373551196,0.01,0.11916197732452163,sit
1.56,33.35309648044698,0.8200000000000001,19.054263608707604,1.72,38.68845528970856,1.72,55.93039944212696,0.72,3.0742667319033505,1.57,2.1484492101076396,stairsdown
1.46,73.27161650900976,0.6900000000000001,21.708190143478145,1.25,35.83871478752385,1.25,53.95562710568617,0.68,4.818526260237841,1.35,2.063428233567752,stairsup
0.14,3.0577073353551643,0.18000000000000002,2.084353296288054,0.14,2.5914333201762836,3.78,0.31547039558326706,0.01,1.4757132528424632,0.09999999999999999,0.3724884400016296,stand
1.64,44.50259597944215,0.81,20.21562429018797,1.62,80.04621809480999,1.65,74.23591569283938,0.83,3.7595956765407665,1.6,3.1778082063207798,walk
0.44,12.46215488071425,0.02,14.313127294604165,2.73,4.178449578819739,3.6399999999999997,5.027837137172309,0.45,5.0372883913549495,0.45,1.7320555545923952,bike
1.03,27.595536821509402,0.15000000000000002,11.891511756923926,0.96,13.968701608207345,1.01,20.27023193191925,0.09,2.585226008553472,0.03,1.5506901848207613,no_task
0.01,1.1998210259355029,0.02,0.5059998712948769,7.62,0.24370854660637004,7.62,0.23677156105701203,0.01,0.8063072062851102,0.01,0.13234707418816954,sit
1.35,36.257453164418116,2.34,11.45448888210804,1.29,32.86885695862298,1.29,52.95793336770218,0.64,2.394279420515954,0.01,2.077716703967766,stairsdown
1.5,56.461829410660606,0.67,30.41015119669336,1.49,36.70931938745408,1.49,66.61297787587417,0.81,3.373748877913687,1.43,2.545831938588183,stairsup
0.13,2.929214994123055,0.03,2.5515235283264075,0.13,2.303055643990483,0.01,0.47827988053838894,0.01,2.1178736031652785,0.09999999999999999,0.3230805985538832,stand
