rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,gt
-0.7121168254874775,-0.05718551718572762,-0.03464004494567163,-0.019067326068670454,-0.005777251202152556,0.0068637587894180285,0.02018847208594643,0.03529028810857504,0.0568440324503765,0.58778514500497,-0.2505584547562605,-0.09398096538412948,-0.012485834389895714,0.0034179729958596777,0.01145271424979314,0.017565677457540646,0.02338351288286361,0.031903592645169176,0.049098980913121815,0.22174242072137512,-0.0732132245117677,-0.029396781623966528,-0.0241793558989003,-0.01674114717453601,0.004867338009049371,0.01000261784347789,0.013416214585612263,0.016953203131431338,0.021980994657991748,0.11489475630603774,stand
-8.269262844657929,-1.4567564959057648,-0.4021512028552543,-0.15450336384195396,-0.02620163174272072,0.02306546370218321,0.06082014038638306,0.15179015427682607,1.535654340756441,17.34962376605197,-1.259599980426168,-0.5771554277178728,-0.5028516675270156,-0.31103412046011775,0.07049212925218964,0.1866486325324841,0.28281509426706086,0.3351822381787652,0.47666447782422217,1.852799125369507,-0.4577701604724796,-0.3948248317343474,-0.39010643317818244,-0.360293430598687,0.04532553620884405,0.13475412473351933,0.17322968866250166,0.2587020325179502,0.3591017739413971,0.794835583968081,no_task
-0.32667275390502226,-0.055360815324398516,-0.03420291237724804,-0.019005628524137563,-0.005935452237762817,0.006550920409029715,0.019582500807413084,0.03459025513510916,0.05502763403988453,0.2997647972230961,-0.627881554467257,-0.09026257153727524,-0.05425175290440598,-0.030461654881835387,-0.010264002004651385,0.009137571374911224,0.030084081289523668,0.055194517529732146,0.09341974804839426,2.499846728338268,-0.045114538159914896,-0.006346482792030719,-0.0039017286546862012,-0.0022179480706530086,-0.0007735699665345902,0.0006191724620097094,0.002069303115430715,0.0037789931425983303,0.00642799884028146,0.03545575226096563,sit
-6.725234678907297,-4.0649946933670495,-2.933390093309307,-1.4009773055568484,-0.470099183978677,0.15932110459903548,0.945244926926577,2.6392856046023248,4.459230375410959,12.023464710345955,-1.5771307817592903,-0.29422395187220024,-0.19105664754275975,-0.11394292225253172,-0.04270236377352801,0.03246582766089908,0.11155970616803487,0.2021908981519161,0.3105357656857484,1.5379583371647558,-0.5817573124309117,-0.19880358386500874,-0.11999041732504906,-0.06444969691676394,-0.021456433494887905,0.017451557572729093,0.056412405392666676,0.11248156788344899,0.21014482676568336,0.5270107787192012,walk
-6.948908747099031,-3.791157226875531,-2.6984510972618203,-1.5841253964780844,-0.5460200367702939,0.3197600967452594,1.116225925168914,2.165968100233064,3.7755982812957694,11.695591372023731,-1.0368349461156063,-0.287106251428238,-0.17768438312970852,-0.10745515041759629,-0.03268386424133829,0.033874409852754236,0.09850296686614422,0.17256831676572174,0.28039079338239836,1.497667277487249,-0.5478752245811681,-0.22558171732488153,-0.13047648760575803,-0.06262310990425646,-0.012649646895818711,0.030748679039309335,0.07687489309790141,0.1342845482167636,0.2127492442216451,0.5553677855385111,stairsup
-8.562762458227256,-4.043881902484493,-2.8785399570801378,-2.0131031285467778,-1.075299041728245,0.04280045264240506,1.2841694021549142,2.6649904332869454,4.783706121298913,13.539983046491871,-1.5512486657989382,-0.2801690975243435,-0.1845452940128607,-0.10997688058744742,-0.04116908534349221,0.0262531822215656,0.09375702237316366,0.1734408602334767,0.286156532755638,1.5746067894562439,-0.6064352403057316,-0.2248921675003313,-0.1420745382181794,-0.08410786420046656,-0.03303780737742745,0.014562232857183388,0.06733049245560463,0.13766839013322407,0.2448126773718874,0.7225742305545265,stairsdown
-3.695254924386136,-0.885433314778183,-0.5520574139505126,-0.3130051327852179,-0.10907494106581872,0.08539825123722267,0.29334174902976073,0.5444384158027109,0.893768949797682,6.339738798598061,-1.4148353456571745,-0.3535901706188184,-0.17268347860284888,-0.012240354879155119,0.06745730334288008,0.11101024040050829,0.14028871628759765,0.16808310627093379,0.20328978559036975,1.349550434077811,-0.4177693592819731,-0.12973327819127134,-0.06471872248348592,-0.026379917825973265,0.0013779205644608439,0.02473213378932604,0.04554439076951622,0.0661847684548037,0.09331924492980548,0.47999537860704466,bike
-0.7595989508787024,-0.0621369467907531,-0.037840707877363045,-0.021258314858220828,-0.0067813060389188,0.006884404863003013,0.02116561201520284,0.03812663891929269,0.06262066582865344,0.6302768981816627,-0.2685396616754326,-0.09262337533267145,-0.015830261804617052,0.001382136984490856,0.010091654685400714,0.016939084218267134,0.02310417245177529,0.03148827492613092,0.04890998500568702,0.2349364489876456,-0.07334495990621437,-0.030128978378634375,-0.024451412772313663,-0.01829873950399441,0.004343342326334265,0.010836422821216218,0.014638854580339422,0.018613399206734105,0.02406175498295393,0.11418145767427035,stand
-7.198148608612867,-1.4974685183004919,-0.3976858181243106,-0.12443049209705315,-0.07009748165591212,-0.03546086132428172,0.004613606937228454,0.24804836892489313,1.6745648233014379,10.163473545459729,-1.1579481260224327,-0.6721728118373638,-0.6032557909413108,-0.4420507298065695,0.11601945844505501,0.2386875382508237,0.32986130075641873,0.3961179069812308,0.5339889517449652,1.9764489485542265,-0.45522465254920275,-0.39860637539517585,-0.39406874429264205,-0.37754171008144854,0.03983328854726115,0.13371449193048618,0.19992358351719858,0.2796307806984913,0.36082162485446384,0.854878742825838,no_task
-0.3068296993232682,-0.05491284721834866,-0.03421476208993113,-0.019151900385653065,-0.00579753620685608,0.006625471390291793,0.019300256559825257,0.03414661743736147,0.05464722066148653,0.33662400829711814,-0.44140754269936777,-0.08290474232426304,-0.04990221448503229,-0.028709412155803582,-0.010981641379113727,0.006291285240225486,0.02510390988588762,0.048530443219062525,0.08509511815156534,2.6949068450414693,-0.04432693880245804,-0.0065071606098661555,-0.004049758122403491,-0.0023124719410136663,-0.0008113716489752815,0.0006074067812658485,0.002118471363791452,0.003882100113828474,0.006556265995080829,0.04217717556132243,sit
